proxyWalletsFromRedeemActivity,selectedWalletRole,tokenContract,from,to,valueRaw,valueAssuming6Decimals,blockNumber,blockTimestampUTC,transactionHash,logIndex
0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,180000000000,180000.0,88692039,2026-06-18T00:37:34+00:00,0x71d0e2644e6f222d22f474ccad9f2aeca96e8bd6f930c23d18959ca5b43ec205,1803
0xd189664c5308903476f9f079820431e4fd7d06f4,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xd189664c5308903476f9f079820431e4fd7d06f4,100332212729,100332.212729,88692039,2026-06-18T00:37:34+00:00,0x7d432832f3eee286acb1e5321ca1bfd7aacebef92b1e220df5511d4b02273942,4293
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,23402313429,23402.313429,88692039,2026-06-18T00:37:34+00:00,0xdfe95cd97bb9e554f5b89ad7639a9ddfeb66f949081be7b80f1ff4064900a092,5460
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,1000000000,1000.0,88692039,2026-06-18T00:37:34+00:00,0x14064e8763acee49b1f66abf5ba80ef11369bd2c573387dc27a92770d5ad5ea7,5708
0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,18900000,18.9,88692039,2026-06-18T00:37:34+00:00,0x0fdccb4d5b86836961fdc4ac09ae24f29c862fba55d4c003c7b0284840332c22,5916
0xd189664c5308903476f9f079820431e4fd7d06f4; 0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xd189664c5308903476f9f079820431e4fd7d06f4,100439674997,100439.674997,88692058,2026-06-18T00:38:02+00:00,0x3c391b34dea1fc21adf3969cb572c0e60c256652f926bb3050609c68df182eec,1185
0xd189664c5308903476f9f079820431e4fd7d06f4; 0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,275000000000,275000.0,88692058,2026-06-18T00:38:02+00:00,0x3c391b34dea1fc21adf3969cb572c0e60c256652f926bb3050609c68df182eec,1305
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a; 0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,1000000000,1000.0,88692058,2026-06-18T00:38:02+00:00,0x33e1691436af891ddcfc1640d4b499353242db537f50fed426cf8b7bea1f4a16,1359
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a; 0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,45950000,45.95,88692058,2026-06-18T00:38:02+00:00,0x33e1691436af891ddcfc1640d4b499353242db537f50fed426cf8b7bea1f4a16,1500
0x2fa801da750904fc348ccb9315a0b892377d4359; 0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x2fa801da750904fc348ccb9315a0b892377d4359,34830000,34.83,88692058,2026-06-18T00:38:02+00:00,0x618fa3ae162ff177d7cb7eba58ad8c215fd1a13a0d0f9885829e51faed9175f4,1574
0x2fa801da750904fc348ccb9315a0b892377d4359; 0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8,133332000000,133332.0,88692058,2026-06-18T00:38:02+00:00,0x618fa3ae162ff177d7cb7eba58ad8c215fd1a13a0d0f9885829e51faed9175f4,1634
0x2fa801da750904fc348ccb9315a0b892377d4359; 0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,206003382500,206003.3825,88692058,2026-06-18T00:38:02+00:00,0x618fa3ae162ff177d7cb7eba58ad8c215fd1a13a0d0f9885829e51faed9175f4,1674
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,1440450000,1440.45,88692058,2026-06-18T00:38:02+00:00,0x8c976ae2c0924b62a8ed5aebef22662fe484999cea61ec775b5581f6a1badac1,2067
